test_number,test_name,login, password, user_type, browsers
PA-1,login admin firefox,admin,admin,admin,IE
PA-3,login admin chrome,admin,admin,admin,CHROME
PA-4,login guest chrome,daniel,daniel123,guest,CHROME
PA-9,login leader chrome,jaque,jaque@2015,leader,CHROME
PA-10,login tester chrome,alex,test@2015,tester,CHROME
PA-6,login guess firefox,daniel,daniel123,guest,FIREFOX
PA-7,login leader firefox,jaque,jaque@2015,leader,FIREFOX
PA-12,login tester firefox,alex,test@2015,tester,FIREFOX
PA-13,login senior tester firefox,luis,luis123,senior tester,FIREFOX
PA-14,login senior tester chrome,luis,luis123,senior tester,CHROME
